Jenis_Kelamin,Umur,SIM,Kode_Daerah,Sudah_Asuransi,Umur_Kendaraan,Kendaraan_Rusak,Premi,Kanal_Penjualan,Lama_Berlangganan,Tertarik
1.0,30.0,1.0,33.0,1.0,1.0,1.0,28029.0,152.0,97.0,0.0
0.0,48.0,1.0,39.0,0.0,2.0,0.0,25800.0,29.0,158.0,0.0
0.6,21.0,1.0,46.0,1.0,1.0,1.0,32733.0,160.0,119.0,0.0
1.0,58.0,1.0,48.0,0.0,0.0,1.0,2630.0,124.0,63.0,0.0
0.0,50.0,1.0,35.0,0.0,2.0,0.4,34857.0,88.0,194.0,0.0
0.0,21.0,1.0,35.0,1.0,1.0,1.0,22735.0,152.0,171.0,0.0
1.0,33.0,1.0,8.0,0.0,0.0,0.0,32435.0,124.0,215.0,1.0
0.0,23.0,1.0,28.0,1.0,1.0,1.0,26869.0,152.0,222.0,0.0
1.0,20.0,1.0,8.0,1.0,1.0,1.0,30786.0,160.0,31.0,0.0
0.4,54.0,1.0,29.0,0.0,2.0,0.0,88883.0,124.0,28.0,1.0
0.0,25.0,1.0,14.0,1.0,1.0,1.0,34212.0,152.0,282.0,0.0
1.0,24.4,1.0,28.0,1.0,1.0,1.0,40754.0,152.0,210.0,0.0
1.0,21.0,1.0,12.0,1.0,1.0,0.6,27907.0,160.0,232.0,0.0
1.0,21.0,1.0,34.4,1.0,1.0,1.0,36598.0,152.0,140.0,0.0
0.0,66.0,1.0,24.0,1.0,0.0,1.0,38616.0,145.0,281.0,0.0
0.0,31.0,1.0,8.0,0.0,1.0,0.0,2630.0,152.0,132.0,0.0
1.0,24.0,1.0,30.0,1.0,1.0,1.0,27285.0,152.0,215.0,0.0
1.0,22.0,1.0,15.0,0.0,1.0,0.0,38289.0,152.0,225.0,0.0
1.0,24.0,1.0,9.0,1.0,1.0,1.0,23157.0,152.0,43.0,0.0
0.0,52.0,1.0,28.0,0.0,2.0,0.0,2630.0,124.0,11.0,1.0
1.0,26.0,1.0,33.0,1.0,1.0,1.0,27319.0,152.0,230.0,0.0
0.0,46.0,1.0,28.0,1.0,0.0,1.0,27834.0,31.0,140.0,0.0
1.0,25.0,1.0,17.6,0.0,1.0,0.0,24206.0,128.4,284.0,0.0
0.0,41.0,1.0,28.0,0.0,0.0,0.0,42140.0,65.2,264.0,1.0
1.0,52.0,1.0,11.0,0.0,0.0,0.0,28974.0,124.0,171.8,0.0
1.0,24.0,1.0,12.0,1.0,1.0,0.0,28419.0,152.0,94.0,0.0
0.0,45.0,1.0,28.0,0.0,0.0,0.2,33412.0,26.0,298.0,0.0
1.0,29.0,1.0,10.0,1.0,1.0,1.0,32830.0,152.0,92.0,0.0
1.0,21.0,1.0,34.0,0.0,1.0,0.0,32976.0,152.0,38.0,0.0
0.0,68.0,0.8,28.0,0.0,0.0,0.0,40186.0,124.0,30.0,0.0
1.0,73.0,1.0,16.0,1.0,0.0,1.0,33733.8,44.2,286.0,0.0
0.0,58.0,1.0,3.0,0.0,0.0,0.0,37385.0,26.0,50.0,0.0
1.0,21.0,1.0,16.0,0.0,1.0,0.0,28559.0,160.0,241.0,1.0
0.0,27.0,1.0,14.0,0.0,1.0,0.0,26881.0,152.0,240.0,0.0
0.0,34.0,1.0,36.0,0.0,0.0,0.0,2630.0,156.0,214.0,1.0
0.0,46.0,1.0,28.0,0.0,0.0,0.0,27865.0,124.0,165.0,1.0
0.0,60.0,1.0,28.0,0.2,0.0,0.0,46045.0,26.0,188.0,1.0
0.0,44.0,1.0,28.0,0.0,0.0,0.0,2630.0,26.0,170.0,0.0
0.0,48.0,1.0,28.0,0.0,0.0,1.0,39375.0,122.0,183.0,0.0
0.0,47.0,1.0,18.2,1.0,0.0,1.0,82935.0,7.0,166.0,0.0
0.0,27.0,1.0,28.0,0.0,0.0,0.0,2630.0,122.0,69.0,0.0
0.0,48.0,1.0,28.0,1.0,0.0,0.0,2630.0,65.2,41.0,0.0
0.0,22.0,1.0,47.0,0.8,1.0,1.0,34915.0,152.0,234.0,0.0
1.0,44.2,1.0,49.0,0.0,0.0,0.0,31689.0,124.0,250.0,0.0
0.2,75.0,1.0,10.0,0.0,0.0,0.0,36967.0,26.0,74.8,0.0
1.0,20.0,1.0,38.0,0.0,1.0,0.0,2630.0,160.0,168.0,0.0
0.0,38.0,1.0,43.0,0.0,0.0,0.0,31297.0,100.4,146.0,0.0
1.0,44.0,1.0,28.0,0.0,0.0,0.0,24256.0,26.0,113.0,0.0
0.0,23.0,1.0,30.0,1.0,1.0,1.0,40381.0,152.0,102.0,0.0
1.0,35.0,1.0,3.0,0.0,0.0,0.0,24911.0,160.0,235.0,0.0
